,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1680362650526,0.5403966903686523,0.01644754409790039,-0.014215469360351562,0.5403966903686523,0.01644754409790039,-0.014215469360351562
1,1680362650541,0.33623427152633667,-0.09264659881591797,-0.24019145965576172,0.33623427152633667,-0.09264659881591797,-0.24019145965576172
2,1680362650547,0.1406111717224121,-0.03140449523925781,0.11555194854736328,0.1406111717224121,-0.03140449523925781,0.11555194854736328
3,1680362650556,-0.1479901671409607,0.028152942657470703,0.4164581298828125,-0.1479901671409607,0.028152942657470703,0.4164581298828125
4,1680362650566,-0.44686347246170044,0.3230290412902832,0.32790374755859375,-0.44686347246170044,0.3230290412902832,0.32790374755859375
5,1680362650576,-0.52529376745224,0.30797815322875977,0.022733688354492188,-0.52529376745224,0.30797815322875977,0.022733688354492188
6,1680362650585,-0.4053018093109131,0.16313886642456055,-0.0949716567993164,-0.4053018093109131,0.16313886642456055,-0.0949716567993164
7,1680362650595,-0.28650975227355957,0.10239839553833008,-0.09402084350585938,-0.28650975227355957,0.10239839553833008,-0.09402084350585938
8,1680362650604,-0.23520410060882568,0.06457328796386719,0.029402732849121094,-0.23520410060882568,0.06457328796386719,0.029402732849121094
9,1680362650613,-0.26458877325057983,0.1009984016418457,0.15707874298095703,-0.26458877325057983,0.1009984016418457,0.15707874298095703
10,1680362650624,-0.2975831627845764,0.14735126495361328,0.13101959228515625,-0.2975831627845764,0.14735126495361328,0.13101959228515625
11,1680362650634,-0.23182570934295654,0.2687397003173828,-0.060868263244628906,-0.23182570934295654,0.2687397003173828,-0.060868263244628906
12,1680362650643,-0.08263969421386719,0.14905166625976562,-0.11905574798583984,-0.08263969421386719,0.14905166625976562,-0.11905574798583984
13,1680362650653,0.1549280285835266,0.0034189224243164062,-0.17706966400146484,0.1549280285835266,0.0034189224243164062,-0.17706966400146484
14,1680362650662,0.24496591091156006,-0.026198863983154297,-0.3461437225341797,0.24496591091156006,-0.026198863983154297,-0.3461437225341797
15,1680362650672,0.21572643518447876,0.0400238037109375,-0.274658203125,0.21572643518447876,0.0400238037109375,-0.274658203125
